Delivery_Surcharge_Amount,Actual_Delivery_Time_Minutes,Delivery_Distance_km,Outlet_Location_Type,Item_Weight_kg,Weather_Condition,Day_of_Week,Time_of_Day_Peak,Realtime_Courier_Availability,Local_Order_Volume
45.04,80.4,16.5,Tier 3,2.29,Clear,Sunday,Dinner Peak,37,154
100.77,32.4,18.8,Tier 1,2.18,Heavy Snow,Saturday,Afternoon,21,321
10.53,19.5,9.35,Tier 1,2.45,Rain,Thursday,Morning Peak,19,218
58.28,37.4,13.95,Tier 1,5.89,Clear,Saturday,Afternoon,25,167
106.73,23.8,20.2,Tier 1,7.98,Clear,Friday,Afternoon,38,200
32.9,20.8,1.67,Tier 1,7.32,Heavy Snow,Thursday,Dinner Peak,3,376
96.45,91.1,5.27,Tier 1,1.66,Clear,Wednesday,Morning Peak,20,210
87.49,45.0,7.58,Tier 3,14.8,Clear,Tuesday,Dinner Peak,38,203
52.49,32.2,15.31,Tier 2,7.75,Rain,Tuesday,Dinner Peak,52,231
41.91,34.5,3.81,Tier 3,2.19,Clear,Tuesday,Off-Peak,57,391
126.89,33.3,6.4,Tier 1,5.13,Heavy Snow,Thursday,Afternoon,57,331
89.34,25.6,15.09,Tier 1,9.55,Clear,Sunday,Afternoon,2,254
128.64,55.0,8.3,Tier 3,4.11,Rain,Sunday,Morning Peak,59,280
36.65,23.2,5.39,Tier 2,7.53,Clear,Tuesday,Dinner Peak,28,145
69.78,45.7,6.44,Tier 2,4.73,Rain,Tuesday,Afternoon,48,268
70.27,81.2,8.6,Tier 2,12.15,Rain,Sunday,Afternoon,8,156
88.83,37.2,1.05,Tier 2,13.67,Fog,Saturday,Dinner Peak,19,142
96.24,55.3,5.32,Tier 1,1.17,Clear,Saturday,Dinner Peak,58,86
104.81,85.9,12.32,Tier 1,1.0,Heavy Snow,Sunday,Afternoon,11,404
19.51,60.9,8.15,Tier 3,10.48,Rain,Saturday,Off-Peak,39,145
58.09,26.7,8.64,Tier 3,10.5,,Thursday,Morning Peak,4,65
109.64,36.3,1.14,Tier 1,12.87,Rain,Wednesday,Afternoon,1,467
18.93,36.6,4.37,Tier 1,7.68,Clear,Saturday,Afternoon,44,404
81.21,69.5,16.57,Tier 1,9.38,Clear,Friday,Morning Peak,37,431
90.25,88.6,2.11,Tier 2,5.42,Clear,Tuesday,Morning Peak,43,73
80.94,47.3,16.1,Tier 1,4.13,Clear,Friday,Dinner Peak,31,186
93.1,80.3,9.83,Tier 1,6.3,Clear,Thursday,Afternoon,23,128
95.72,60.8,4.19,Tier 1,1.5,Clear,Saturday,Afternoon,10,24
65.85,14.3,3.34,Tier 2,6.23,Rain,Thursday,Morning Peak,31,389
89.85,87.7,9.79,Tier 1,15.03,Clear,Friday,Afternoon,42,400
96.73,20.0,1.65,Tier 1,7.08,Fog,Tuesday,Off-Peak,48,171
95.47,66.3,8.03,Tier 3,14.76,Clear,Thursday,Afternoon,16,484
35.06,80.7,12.14,Tier 1,7.86,Fog,Thursday,Dinner Peak,18,57
76.06,87.2,0.56,Tier 1,12.11,Clear,Tuesday,Morning Peak,21,141
75.3,75.1,1.27,Tier 2,3.39,Clear,Monday,Afternoon,51,146
51.22,89.0,12.39,Tier 1,12.31,Clear,Friday,Dinner Peak,43,196
63.35,95.8,4.02,Tier 2,12.0,Rain,Saturday,Afternoon,2,269
45.34,57.1,16.05,Tier 1,7.02,Clear,Wednesday,Morning Peak,58,419
58.17,40.2,4.23,Tier 1,7.59,Clear,Saturday,Morning Peak,2,317
84.28,24.4,14.69,Tier 1,4.24,Heavy Snow,Monday,Morning Peak,21,259
44.59,68.4,8.91,Tier 3,5.8,Heavy Snow,Sunday,Morning Peak,17,188
123.8,76.7,14.57,Tier 2,9.9,Heavy Snow,Tuesday,Morning Peak,38,467
93.2,48.2,1.18,Tier 1,3.24,Clear,Wednesday,Afternoon,11,237
58.78,60.6,4.27,Tier 2,2.04,Rain,Thursday,Dinner Peak,46,172
77.44,62.9,2.33,Tier 1,0.88,Rain,Wednesday,Off-Peak,27,274
19.06,53.8,5.45,Tier 2,7.83,Rain,Sunday,Morning Peak,47,218
97.09,65.0,15.09,Tier 1,0.6,Clear,Sunday,Morning Peak,38,225
44.08,17.4,1.72,Tier 1,5.08,Clear,Sunday,Dinner Peak,51,16
15.38,52.1,8.11,Tier 2,14.8,Clear,Saturday,Morning Peak,51,112
55.24,54.1,11.79,Tier 2,14.16,Clear,Sunday,Afternoon,8,9
82.4,75.4,11.71,Tier 2,13.71,Rain,Thursday,Dinner Peak,18,428
35.73,62.4,15.54,Tier 1,6.38,Clear,Monday,Off-Peak,59,380
100.61,37.7,12.66,Tier 1,1.89,Clear,Thursday,Off-Peak,53,463
53.51,80.9,1.59,Tier 1,5.57,Clear,Friday,Dinner Peak,23,366
38.52,37.0,2.54,Tier 1,9.99,Rain,Saturday,Dinner Peak,7,230
93.69,39.3,1.35,Tier 1,7.79,Rain,Sunday,Morning Peak,54,69
99.98,35.9,17.22,Tier 2,1.34,Rain,Friday,Dinner Peak,33,101
26.68,37.2,13.03,Tier 3,9.62,Clear,Tuesday,Off-Peak,28,113
63.51,64.8,7.58,Tier 1,1.2,Rain,Sunday,Afternoon,46,343
88.05,68.8,6.71,Tier 3,10.92,Rain,Friday,Afternoon,51,124
21.93,89.8,6.33,Tier 1,3.11,Clear,Thursday,Morning Peak,17,391
32.37,17.5,1.42,Tier 1,10.51,Rain,Thursday,Dinner Peak,40,168
37.77,43.9,3.23,Tier 1,8.67,Rain,Friday,Afternoon,21,144
54.44,52.6,5.93,Tier 3,5.6,Clear,Thursday,Dinner Peak,46,485
37.6,28.4,8.86,Tier 1,9.08,Clear,Monday,Dinner Peak,35,397
60.88,58.6,11.62,Tier 1,9.19,Heavy Snow,Friday,Afternoon,59,160
110.44,21.1,7.34,Tier 2,11.47,Clear,Thursday,Off-Peak,28,467
72.81,28.0,5.98,Tier 1,9.5,Clear,Tuesday,Afternoon,29,384
28.06,20.7,2.94,Tier 1,1.7,Fog,Friday,Dinner Peak,43,466
70.39,28.1,6.53,Tier 1,14.03,Clear,Saturday,Morning Peak,10,151
17.08,17.8,3.54,Tier 1,13.49,Fog,Saturday,Afternoon,40,30
52.85,57.9,17.17,Tier 1,2.08,Fog,Thursday,Dinner Peak,13,385
66.55,70.5,13.09,Tier 1,7.36,Rain,Saturday,Afternoon,24,232
30.81,53.7,7.65,Tier 1,12.35,Clear,Thursday,Morning Peak,12,106
54.09,77.7,9.91,Tier 2,5.94,Clear,Sunday,Morning Peak,49,212
25.61,58.5,5.19,Tier 1,1.77,Rain,Wednesday,Afternoon,13,411
12.42,74.4,22.02,Tier 3,8.6,Clear,Thursday,Afternoon,43,102
68.58,45.9,11.56,Tier 3,10.22,Clear,Wednesday,Dinner Peak,35,275
26.26,79.1,3.64,Tier 1,5.78,Clear,Monday,Morning Peak,37,279
56.46,14.5,9.87,Tier 3,7.29,Clear,Sunday,Afternoon,44,131
71.09,15.3,5.19,Tier 1,7.7,Fog,Tuesday,Afternoon,39,103
125.45,92.9,4.15,Tier 1,14.29,Rain,Wednesday,Morning Peak,31,127
48.29,41.4,18.47,Tier 3,5.33,Rain,Sunday,Morning Peak,13,302
60.9,34.2,8.8,Tier 1,15.62,Rain,Thursday,Afternoon,30,298
22.03,91.0,7.18,Tier 1,16.57,Heavy Snow,Tuesday,Dinner Peak,30,87
43.93,54.6,14.19,Tier 2,8.61,Clear,Friday,Dinner Peak,16,91
27.91,58.5,13.32,Tier 2,9.08,Rain,Thursday,Afternoon,10,282
11.36,40.8,2.58,Tier 1,6.46,Clear,Thursday,Afternoon,28,234
63.34,27.6,10.41,Tier 2,13.95,Clear,Friday,Morning Peak,32,35
80.15,73.2,15.21,Tier 1,7.67,Rain,Wednesday,Dinner Peak,30,135
93.62,46.8,4.69,Tier 1,2.56,Heavy Snow,Thursday,Afternoon,43,26
72.87,21.4,18.64,Tier 1,2.26,Clear,Saturday,Dinner Peak,33,17
113.34,94.4,1.85,Tier 2,7.12,Fog,Saturday,Dinner Peak,29,314
71.79,18.1,12.34,Tier 1,6.5,Clear,Sunday,Afternoon,55,459
61.92,26.3,14.12,Tier 1,2.17,Fog,Thursday,Afternoon,13,30
72.13,44.6,2.33,Tier 1,7.59,Clear,Monday,Afternoon,19,219
119.43,81.0,11.84,Tier 1,15.95,Clear,Sunday,Morning Peak,22,94
76.74,68.1,2.97,Tier 3,12.51,Clear,Sunday,Off-Peak,54,133
60.98,75.0,12.41,Tier 3,13.29,Rain,Sunday,Off-Peak,39,427
84.84,77.6,18.21,Tier 3,5.87,Clear,Thursday,Dinner Peak,11,374
39.98,49.1,21.34,Tier 3,3.32,Clear,Saturday,Afternoon,47,361
86.59,87.9,18.82,Tier 2,13.32,,Tuesday,Afternoon,12,283
101.39,92.8,17.17,Tier 2,1.05,Clear,Monday,Afternoon,53,245
25.91,44.3,14.86,Tier 1,1.69,Rain,Sunday,Morning Peak,47,225
93.02,28.1,18.14,Tier 1,1.71,Fog,Sunday,Afternoon,47,476
16.26,15.7,7.99,Tier 1,0.35,Clear,Thursday,Afternoon,33,163
85.18,37.6,1.04,Tier 1,13.79,Clear,Saturday,Afternoon,37,54
33.64,64.9,5.76,Tier 3,5.61,Clear,Thursday,Morning Peak,45,67
109.91,82.6,13.04,Tier 1,6.47,Rain,Thursday,Afternoon,48,23
38.3,60.1,8.3,Tier 1,10.2,Clear,Tuesday,Off-Peak,11,203
77.65,82.7,15.73,Tier 3,9.9,Clear,Saturday,Dinner Peak,41,57
74.29,46.4,15.14,Tier 1,3.61,Fog,Sunday,Morning Peak,50,437
60.58,78.4,12.37,Tier 2,11.07,Clear,Wednesday,Afternoon,32,286
102.32,77.8,10.22,Tier 1,11.5,Rain,Tuesday,Afternoon,42,57
20.87,60.7,16.07,Tier 1,10.17,Clear,Thursday,Afternoon,7,389
77.14,67.6,21.26,Tier 2,1.2,Clear,Tuesday,Dinner Peak,39,217
73.59,58.8,0.72,Tier 1,1.32,Clear,Tuesday,Morning Peak,24,68
117.82,79.1,1.58,Tier 2,3.1,Rain,Saturday,Dinner Peak,58,362
41.02,52.1,6.81,Tier 1,6.64,Rain,Friday,Afternoon,29,299
27.09,49.4,12.22,Tier 1,11.54,Clear,Tuesday,Off-Peak,19,282
93.8,41.8,16.39,Tier 2,14.47,Heavy Snow,Wednesday,Afternoon,59,220
73.03,27.5,2.95,Tier 1,5.76,Heavy Snow,Monday,Dinner Peak,23,267
78.41,39.7,11.51,Tier 3,7.52,Clear,Saturday,Afternoon,31,419
67.86,53.4,4.86,Tier 1,3.28,Heavy Snow,Thursday,Dinner Peak,59,466
110.97,20.1,14.39,Tier 1,10.99,Rain,Saturday,Afternoon,27,410
100.5,72.4,13.07,Tier 1,1.71,Clear,Sunday,Afternoon,23,474
58.02,49.1,17.3,Tier 1,9.59,Clear,Friday,Morning Peak,24,373
46.11,89.7,13.77,Tier 2,13.12,Clear,Wednesday,Dinner Peak,18,481
24.99,24.6,16.63,Tier 2,1.39,Clear,Friday,Afternoon,3,413
110.98,18.3,2.35,Tier 1,4.34,Clear,Tuesday,Dinner Peak,39,427
63.3,39.1,8.71,Tier 3,7.56,Clear,Tuesday,Afternoon,39,198
24.17,17.8,7.19,Tier 2,12.31,Clear,Sunday,Morning Peak,42,395
65.9,75.7,9.81,Tier 3,14.3,Clear,Sunday,Morning Peak,54,343
79.19,94.6,12.61,Tier 2,8.12,Clear,Wednesday,Afternoon,17,171
112.62,93.5,16.22,Tier 1,10.48,Clear,Thursday,Off-Peak,44,72
59.32,43.7,4.76,Tier 1,2.87,Clear,Wednesday,Morning Peak,56,171
30.16,23.8,4.28,Tier 2,4.07,Clear,Sunday,Off-Peak,35,459
15.64,39.0,9.7,Tier 2,15.14,Clear,Saturday,Afternoon,40,402
109.17,24.1,17.02,Tier 2,8.03,Clear,Wednesday,Morning Peak,39,247
91.75,66.4,3.85,Tier 1,12.05,Clear,Monday,Dinner Peak,35,223
106.01,82.7,4.55,Tier 1,11.8,Clear,Sunday,Afternoon,58,134
91.86,30.6,3.64,Tier 3,1.86,Fog,Friday,Dinner Peak,41,400
85.13,74.3,0.68,Tier 2,4.45,Heavy Snow,Monday,Off-Peak,16,352
66.16,32.9,3.72,Tier 2,16.67,Clear,Sunday,Morning Peak,11,238
79.39,74.9,12.75,Tier 3,5.93,Clear,Friday,Afternoon,6,449
17.02,45.2,8.41,Tier 1,14.09,Rain,Monday,Dinner Peak,4,417
75.78,32.0,17.04,Tier 1,2.7,Fog,Sunday,Afternoon,5,79
108.78,72.8,3.8,Tier 2,9.1,Clear,Monday,Afternoon,44,447
26.97,39.3,8.6,Tier 3,3.08,Clear,Sunday,Dinner Peak,13,116
76.95,30.8,3.3,Tier 1,9.22,Rain,Friday,Afternoon,24,31
54.91,63.5,7.47,Tier 2,11.69,Clear,Monday,Afternoon,36,373
81.09,26.3,18.74,Tier 1,5.88,Fog,Tuesday,Dinner Peak,9,318
53.24,60.3,1.97,Tier 1,3.5,Clear,Monday,Afternoon,29,329
122.3,45.4,6.86,Tier 2,4.7,Clear,Wednesday,Afternoon,53,452
13.72,26.7,8.9,Tier 3,11.35,Clear,Friday,Morning Peak,13,365
73.52,15.4,2.52,Tier 1,6.41,Heavy Snow,Thursday,Morning Peak,32,159
33.29,91.8,13.41,Tier 2,6.95,Heavy Snow,Wednesday,Afternoon,43,91
102.77,37.9,16.23,Tier 1,12.04,Clear,Friday,Morning Peak,19,484
48.3,93.6,2.2,Tier 2,14.05,Heavy Snow,Monday,Morning Peak,56,487
98.14,33.6,9.22,Tier 1,1.88,Rain,Tuesday,Afternoon,55,35
63.81,90.6,11.11,Tier 2,0.67,Rain,Monday,Afternoon,30,288
104.62,58.0,21.29,Tier 2,14.82,Clear,Saturday,Morning Peak,41,470
66.29,44.8,17.04,Tier 2,13.62,Fog,Thursday,Dinner Peak,38,249
51.06,15.8,15.41,Tier 1,4.61,Clear,Sunday,Dinner Peak,42,165
82.85,89.1,10.7,Tier 1,11.76,Clear,Sunday,Off-Peak,12,472
67.61,64.3,12.55,Tier 1,12.67,Rain,Monday,Morning Peak,7,272
104.66,48.3,8.75,Tier 2,6.63,Clear,Saturday,Morning Peak,59,32
94.27,21.1,6.71,Tier 1,11.73,Clear,Monday,Morning Peak,27,361
90.02,34.1,3.83,Tier 2,9.1,Clear,Sunday,Afternoon,31,438
37.31,29.0,3.37,Tier 2,9.62,Rain,Tuesday,Off-Peak,44,477
130.56,75.0,9.04,Tier 3,15.94,Clear,Wednesday,Dinner Peak,33,428
87.31,85.0,1.42,Tier 3,10.49,Clear,Thursday,Morning Peak,29,469
125.64,77.6,1.64,Tier 1,11.69,Clear,Thursday,Morning Peak,58,252
64.57,81.2,15.77,Tier 1,1.16,Clear,Thursday,Morning Peak,42,239
103.16,54.0,3.97,Tier 1,3.59,Clear,Sunday,Dinner Peak,50,67
46.64,63.7,13.37,Tier 2,7.5,Clear,Sunday,Morning Peak,11,484
78.5,45.6,6.65,Tier 2,13.4,Heavy Snow,Monday,Off-Peak,54,312
49.96,50.9,15.67,Tier 2,4.29,Clear,Tuesday,Afternoon,10,185
39.05,81.7,19.68,Tier 2,5.31,Clear,Monday,Morning Peak,38,92
98.49,41.9,1.19,Tier 2,1.93,Rain,Monday,Off-Peak,11,64
111.27,67.4,16.11,Tier 1,0.88,Clear,Thursday,Off-Peak,33,463
73.97,66.0,6.0,Tier 1,5.58,Heavy Snow,Monday,Dinner Peak,43,48
14.07,25.8,4.32,Tier 2,6.81,Clear,Sunday,Afternoon,5,453
46.63,33.5,3.41,Tier 1,7.67,Clear,Monday,Dinner Peak,18,463
93.83,28.3,20.2,Tier 1,6.61,Rain,Monday,Afternoon,52,387
73.73,71.1,16.73,Tier 1,15.61,Fog,Saturday,Off-Peak,1,431
28.62,84.4,13.09,Tier 2,10.74,Rain,Friday,Dinner Peak,17,296
83.46,61.2,3.54,Tier 1,6.49,Clear,Monday,Dinner Peak,47,272
91.95,56.0,1.4,Tier 2,3.51,Clear,Sunday,Dinner Peak,4,405
69.61,23.4,7.66,Tier 1,11.08,Rain,Wednesday,Morning Peak,26,276
71.45,34.5,12.33,Tier 1,8.47,Clear,Friday,Afternoon,22,129
106.76,58.8,14.49,Tier 1,13.42,Rain,Tuesday,Off-Peak,47,415
71.61,85.3,5.03,Tier 1,4.45,Clear,Monday,Afternoon,8,40
30.12,30.2,5.39,Tier 1,13.51,Rain,Thursday,Off-Peak,50,276
104.34,70.0,5.56,Tier 2,4.11,Rain,Sunday,Morning Peak,49,288
69.7,74.4,5.85,Tier 2,11.11,Clear,Saturday,Afternoon,58,70
97.23,24.8,11.91,Tier 1,2.3,Clear,Thursday,Off-Peak,24,350
73.02,52.1,12.65,Tier 1,6.9,Clear,Wednesday,Dinner Peak,46,164
25.46,27.5,8.82,Tier 1,2.71,Clear,Sunday,Morning Peak,15,316
92.63,24.6,6.76,Tier 2,8.28,Clear,Friday,Dinner Peak,54,49
98.5,23.4,22.09,Tier 1,1.06,Clear,Sunday,Afternoon,17,473
81.18,53.7,16.08,Tier 2,9.43,Rain,Wednesday,Dinner Peak,27,120
67.96,66.9,4.68,Tier 1,15.46,Clear,Saturday,Afternoon,39,203
44.58,21.1,9.49,Tier 2,5.25,Rain,Monday,Dinner Peak,51,228
19.63,73.9,11.34,Tier 2,7.98,Fog,Wednesday,Afternoon,14,222
15.32,81.6,14.85,Tier 3,13.6,Rain,Saturday,Afternoon,23,52
61.19,28.9,6.43,Tier 1,10.29,Rain,Thursday,Off-Peak,20,412
17.71,56.9,9.17,Tier 1,13.53,Fog,Wednesday,Afternoon,53,275
39.63,70.1,16.28,Tier 2,4.23,Heavy Snow,Friday,Afternoon,24,255
107.6,64.9,1.21,Tier 3,3.39,Rain,Friday,Off-Peak,25,18
52.4,36.5,8.15,Tier 1,5.99,Fog,Sunday,Afternoon,23,481
59.25,37.6,4.39,Tier 2,2.12,Clear,Monday,Afternoon,14,292
23.41,92.9,17.44,Tier 1,4.52,Rain,Saturday,Morning Peak,36,445
38.68,25.4,1.19,Tier 2,3.54,Rain,Wednesday,Dinner Peak,58,42
130.21,76.2,16.51,Tier 1,15.01,Heavy Snow,Friday,Dinner Peak,49,457
64.7,76.1,10.46,Tier 3,0.57,Clear,Sunday,Morning Peak,22,321
96.33,91.3,9.67,Tier 2,5.65,Heavy Snow,Sunday,Morning Peak,34,455
26.54,60.1,6.21,Tier 2,5.46,Fog,Tuesday,Morning Peak,25,50
63.54,66.3,4.98,Tier 1,14.54,Clear,Wednesday,Morning Peak,38,386
117.41,44.0,19.68,Tier 2,11.25,Clear,Sunday,Afternoon,11,57
35.34,87.1,8.81,Tier 1,8.16,Rain,Tuesday,Afternoon,15,231
38.67,29.1,15.12,Tier 1,13.76,Clear,Saturday,Afternoon,44,113
98.02,64.1,17.53,Tier 1,13.18,Rain,Thursday,Morning Peak,17,439
93.61,65.7,4.1,Tier 2,3.18,Clear,Sunday,Afternoon,56,211
26.17,61.0,15.06,Tier 1,7.9,Rain,Sunday,Morning Peak,22,422
77.24,38.0,9.02,Tier 3,11.52,Clear,Tuesday,Afternoon,35,356
61.09,34.4,16.24,Tier 1,4.79,Clear,Tuesday,Dinner Peak,3,414
101.84,82.9,12.72,Tier 1,6.21,Clear,Thursday,Dinner Peak,21,254
88.1,60.5,9.16,Tier 1,2.28,Clear,Tuesday,Off-Peak,14,120
86.31,86.0,1.24,Tier 2,1.94,Clear,Thursday,Morning Peak,15,68
52.45,61.4,5.69,Tier 1,10.92,Fog,Thursday,Morning Peak,9,246
83.06,47.6,18.33,Tier 2,9.64,Clear,Monday,Dinner Peak,28,431
76.26,68.5,7.92,Tier 1,2.32,Clear,Monday,Morning Peak,21,407
88.15,17.4,16.99,Tier 1,6.37,Clear,Monday,Dinner Peak,59,287
28.25,36.7,8.29,Tier 1,10.5,Clear,Monday,Off-Peak,22,38
110.93,26.2,20.25,Tier 3,11.47,Rain,Friday,Dinner Peak,1,362
38.27,41.1,10.61,Tier 1,6.59,Clear,Sunday,Off-Peak,30,117
116.52,78.8,4.46,Tier 1,10.03,Rain,Saturday,Afternoon,28,299
111.84,43.1,12.19,Tier 1,10.44,Rain,Thursday,Dinner Peak,12,367
75.93,57.3,3.62,Tier 1,5.17,Rain,Saturday,Morning Peak,48,54
93.86,26.2,12.3,Tier 3,3.99,Clear,Sunday,Morning Peak,10,339
41.96,38.2,17.68,Tier 1,5.21,Heavy Snow,Tuesday,Morning Peak,23,229
92.86,83.2,2.25,Tier 2,7.66,Rain,Tuesday,Dinner Peak,18,134
19.68,88.1,2.17,Tier 2,4.7,Rain,Thursday,Off-Peak,6,496
95.1,90.2,10.24,Tier 1,6.34,Rain,Friday,Morning Peak,17,468
74.74,25.0,17.84,Tier 1,8.33,Heavy Snow,Monday,Morning Peak,27,397
61.33,55.2,16.58,Tier 1,7.44,Clear,Saturday,Dinner Peak,45,349
16.23,48.7,3.2,Tier 1,9.14,Clear,Sunday,Morning Peak,8,151
88.2,32.5,6.73,Tier 2,13.29,Clear,Friday,Off-Peak,56,345
16.4,35.4,8.21,Tier 2,12.65,Clear,Friday,Afternoon,27,217
40.64,34.2,7.76,Tier 2,6.69,Clear,Wednesday,Dinner Peak,17,300
105.42,58.4,5.44,Tier 1,8.92,Clear,Saturday,Dinner Peak,20,433
103.4,61.4,10.33,Tier 2,6.48,Heavy Snow,Tuesday,Off-Peak,19,12
87.67,74.9,19.25,Tier 2,2.81,Clear,Friday,Off-Peak,50,315
69.34,19.9,16.92,Tier 1,7.02,Clear,Saturday,Afternoon,48,20
92.9,72.4,2.7,Tier 1,7.36,Clear,Tuesday,Off-Peak,24,286
66.31,17.0,18.97,Tier 1,0.44,Clear,Monday,Afternoon,8,436
45.27,66.6,4.58,Tier 2,11.87,Clear,Tuesday,Morning Peak,51,234
34.41,25.6,3.25,Tier 2,3.58,Clear,Thursday,Dinner Peak,9,362
45.77,15.2,6.74,Tier 1,3.47,Fog,Wednesday,Afternoon,26,282
96.07,81.4,17.87,Tier 1,6.61,Clear,Monday,Afternoon,6,300
73.05,34.8,7.17,Tier 2,12.02,Clear,Tuesday,Afternoon,29,329
54.22,72.2,5.78,Tier 2,14.22,Fog,Friday,Afternoon,42,397
104.51,91.7,11.97,Tier 1,13.64,Rain,Friday,Afternoon,46,269
105.1,47.0,12.84,Tier 1,6.08,Clear,Sunday,Morning Peak,45,259
85.39,80.7,12.31,Tier 1,1.29,Rain,Tuesday,Off-Peak,8,25
83.62,80.0,4.59,Tier 1,14.18,Clear,Wednesday,Morning Peak,56,152
66.99,33.4,6.98,Tier 1,12.56,Fog,Thursday,Morning Peak,7,333
39.41,87.9,15.15,Tier 2,8.96,Fog,Sunday,Dinner Peak,22,450
93.34,63.4,9.04,Tier 2,12.52,Rain,Tuesday,Off-Peak,4,349
91.83,81.4,6.07,Tier 2,5.88,Clear,Thursday,Afternoon,10,267
19.17,23.4,5.78,Tier 2,3.01,Rain,Friday,Morning Peak,19,211
54.42,78.4,11.56,Tier 1,1.7,Rain,Wednesday,Morning Peak,56,286
50.62,60.1,4.06,Tier 2,12.68,Clear,Thursday,Afternoon,16,171
130.49,24.5,17.16,Tier 1,12.47,Rain,Friday,Afternoon,10,412
51.91,86.3,6.46,Tier 1,7.32,Clear,Monday,Dinner Peak,59,193
92.24,47.2,10.8,Tier 1,12.96,Clear,Tuesday,Off-Peak,35,275
47.76,16.6,10.28,Tier 2,2.94,Rain,Saturday,Dinner Peak,29,234
91.72,24.1,20.73,Tier 2,2.56,Fog,Sunday,Morning Peak,55,97
131.18,67.4,7.31,Tier 1,10.55,Clear,Sunday,Afternoon,43,61
126.82,30.5,7.42,Tier 1,0.98,Rain,Saturday,Dinner Peak,13,304
63.62,33.0,9.39,Tier 1,10.95,Clear,Saturday,Afternoon,15,395
47.77,93.3,4.81,Tier 2,7.93,Fog,Friday,Morning Peak,38,492
39.28,53.3,19.13,Tier 3,11.58,Clear,Tuesday,Afternoon,10,201
29.02,74.4,5.39,Tier 1,7.77,Clear,Wednesday,Afternoon,1,300
101.43,77.1,7.91,Tier 1,10.91,Clear,Sunday,Afternoon,33,301
91.14,42.5,15.15,Tier 1,11.55,Rain,Monday,Morning Peak,56,406
21.68,29.3,15.15,Tier 1,3.55,Clear,Thursday,Afternoon,55,137
47.41,72.0,21.86,Tier 2,7.72,Fog,Tuesday,Off-Peak,59,205
61.43,59.5,13.29,Tier 1,6.87,Clear,Monday,Dinner Peak,34,391
28.83,52.7,13.06,Tier 3,11.34,Clear,Wednesday,Dinner Peak,15,434
100.77,29.0,16.39,Tier 1,9.29,Clear,Monday,Morning Peak,17,39
101.24,45.3,0.94,Tier 2,13.91,Clear,Tuesday,Dinner Peak,19,255
76.7,83.7,10.66,Tier 1,5.02,Fog,Saturday,Dinner Peak,12,409
71.05,39.0,17.57,Tier 1,7.74,Clear,Wednesday,Afternoon,30,190
74.49,25.5,18.32,Tier 2,2.83,Clear,Saturday,Afternoon,36,404
70.36,64.8,1.93,Tier 2,12.28,Rain,Saturday,Morning Peak,29,160
47.94,24.8,1.62,Tier 1,15.01,Rain,Sunday,Morning Peak,57,98
20.51,53.7,18.71,Tier 2,1.81,Clear,Wednesday,Off-Peak,14,307
43.92,61.6,11.99,Tier 2,15.48,Clear,Saturday,Off-Peak,33,172
78.42,59.1,20.03,Tier 3,0.51,Clear,Saturday,Afternoon,22,40
96.66,35.2,1.05,Tier 1,11.3,Clear,Monday,Morning Peak,42,217
32.29,23.6,11.29,Tier 1,13.31,Fog,Monday,Off-Peak,45,112
92.01,64.8,17.85,Tier 2,2.93,Rain,Monday,Dinner Peak,50,265
88.57,86.1,3.17,Tier 1,6.08,Rain,Friday,Morning Peak,38,236
22.49,60.7,18.46,Tier 1,13.36,Rain,Saturday,Dinner Peak,41,294
101.89,17.2,9.86,Tier 2,0.48,Fog,Monday,Dinner Peak,56,150
56.71,43.7,10.1,Tier 2,13.23,Clear,Tuesday,Dinner Peak,55,82
127.73,35.3,7.97,Tier 1,3.59,Clear,Saturday,Afternoon,42,154
82.19,35.4,4.13,Tier 1,4.14,Heavy Snow,Tuesday,Morning Peak,42,152
80.2,48.5,10.94,Tier 1,6.26,Clear,Saturday,Afternoon,23,68
50.59,84.4,18.34,Tier 1,5.28,Clear,Saturday,Dinner Peak,2,410
17.41,26.8,11.04,Tier 2,10.6,Clear,Wednesday,Dinner Peak,23,473
117.84,48.3,11.82,Tier 3,12.2,Clear,Tuesday,Dinner Peak,8,5
34.86,31.4,12.22,Tier 2,12.15,Rain,Saturday,Afternoon,29,498
35.48,17.1,22.01,Tier 1,10.3,Clear,Thursday,Dinner Peak,59,179
11.17,40.4,19.55,Tier 2,7.27,Heavy Snow,Friday,Afternoon,30,305
26.73,40.9,1.42,Tier 2,10.42,Clear,Wednesday,Dinner Peak,23,131
79.07,30.3,5.27,Tier 1,4.34,Rain,Wednesday,Morning Peak,18,251
11.42,30.8,9.57,Tier 2,4.09,Clear,Sunday,Afternoon,58,189
46.99,75.2,11.17,Tier 2,9.75,,Friday,Dinner Peak,20,19
23.17,42.3,20.28,Tier 1,4.2,Rain,Thursday,Afternoon,20,453
103.03,67.7,11.0,Tier 1,0.82,Rain,Sunday,Afternoon,54,472
105.79,49.0,15.8,Tier 1,14.28,Rain,Wednesday,Morning Peak,25,40
45.67,14.8,18.46,Tier 2,11.45,Clear,Friday,Afternoon,29,429
72.27,40.1,5.71,Tier 2,2.06,Clear,Monday,Dinner Peak,31,427
50.76,57.8,4.61,Tier 1,6.66,Clear,Friday,Dinner Peak,13,375
14.63,57.2,4.41,Tier 2,9.89,Clear,Sunday,Off-Peak,43,172
52.48,17.2,13.96,Tier 3,2.65,,Sunday,Off-Peak,5,12
